Year,1,2,3,4,5,6+
1973,0.00545691272545606,0.144784709541393,0.320763480650989,0.216457596458731,0.141879805881967,0.170657494741465
1974,0.0169396781116097,0.555763407877011,0.117739381302009,0.158347273315215,0.0792596384559008,0.0719506209382549
1975,0.444401415585858,0.220403617052485,0.10417472132985,0.0624274550401419,0.0883052331570634,0.0802875578346013
1976,0.0209782345983697,0.669130428654165,0.128152243804337,0.0355434675811554,0.0488043559823243,0.0973912693796481
1977,0.309764290782543,0.296171594165628,0.304651481212419,0.0316123966170413,0.0173338338389067,0.0404664033834625
1978,0.312325462368742,0.52576788706119,0.0862783973527578,0.0586358203610309,0.00985241805856519,0.00714001479771404
1979,0.00653549800903356,0.632044998220084,0.304111002006219,0.0373155192981499,0.0153900274425606,0.00460295502395328
1980,0.0423678056807145,0.445853131135975,0.303950917299882,0.176524801662968,0.0236042777749404,0.00769906644551923
1981,0.00184511699653717,0.359635339123804,0.409507816347159,0.158788698335898,0.0602919457610018,0.00993108343559996
1982,0.0031158093136312,0.669013403954066,0.281350453452394,0.03664043853874,0.00818394596554413,0.0016959487756243
1983,0.0355780914020509,0.277899255792349,0.624782039592599,0.0532119329289307,0.00569071304914077,0.00283796723492971
1984,0.0132301203868747,0.16565801039172,0.560028071995889,0.228599616138411,0.0247149899020155,0.0077691911850902
1985,0.132836489927598,0.507877352324461,0.142053975904044,0.128652703119653,0.0724978749004213,0.0160816038238217
1986,0.0290806350805292,0.662706358537964,0.229467416747084,0.0438626911623902,0.0245907050857765,0.0102921933862569
1987,0.175853680214773,0.39439016451146,0.288536584360905,0.11292682539206,0.0203658936411544,0.00792685187964747
1988,0.621881140278127,0.236617130309227,0.0627855355672008,0.0592714197705291,0.0156963838918002,0.00374839018311647
1989,0.000990713554465424,0.834008832423824,0.14248402056616,0.0202197642152648,0.00216156942218834,0.000135099818098041
1990,0.00388128060412241,0.0424696497468296,0.903484165270597,0.0480559976348319,0.00199672911591391,0.000112177627705412
1991,0.0244616687720426,0.0899774371855627,0.298054048528306,0.574269524970871,0.010126249534505,0.00311107100871323
1992,0.0636309205171735,0.198457411449666,0.295016345786933,0.396618237192276,0.0436072422343761,0.00266984281957574
1993,0.00684552286287275,0.248716498421873,0.253850504734381,0.405590302058221,0.0827151498554991,0.00228202206715339
1994,0.0835297813031121,0.279848851938797,0.254365356928897,0.192071672105673,0.14487979893526,0.0453045387882614
1995,0.00102593504898472,0.34769184249099,0.281025699427538,0.279999764378553,0.0584616079396574,0.0317951507142766
1996,0.0020777209691763,0.255065007557623,0.587532373733686,0.123636401831436,0.0161040881185772,0.015584407789503
1997,0.00606259952741645,0.0649071641773512,0.542439405964061,0.328102828211144,0.0410129830912658,0.017475019028761
1998,0.00171217229137807,0.421917850699236,0.399315197063113,0.144862971783467,0.0267121970337522,0.00547961112905391
1999,0.0212176363350189,0.133148736474231,0.655596661975339,0.148216607910464,0.0289053008944085,0.0129150564105385
2000,0.00556232368730646,0.360630297712627,0.440667587913588,0.172435064059584,0.0176143784809969,0.00309034814589715
2001,0,0.155885033803944,0.614073594578129,0.172609796851585,0.0438625334393776,0.0135690413269644
2002,0.00341801864295305,0.187988147030929,0.563476563905435,0.228027177205917,0.0166017363054984,0.000488356909266836
2003,0.00210086612143702,0.163865511838084,0.511904226143475,0.289215826661157,0.0238098160429529,0.00910375319289374
2004,0.204641186050275,0.122362735545357,0.244022407150456,0.214486835626956,0.143460162579232,0.0710266730477237
2005,0.0431851626857152,0.249662217008552,0.256410021419108,0.226720467554504,0.157895219192358,0.0661269121397636
2006,0.050949050949051,0.353646353646354,0.303696303696304,0.158841158841159,0.060939060939061,0.0719280719280719
2007,0.00721181211291922,0.223557882595076,0.563300877917124,0.141025380060086,0.0360575527636107,0.0288464945511842
2008,0.0234928199936405,0.0524664939128019,0.358653104635481,0.518401941470796,0.0399375746965538,0.00704806529072721
2009,0.0152178677574563,0.182608268180226,0.167391424574311,0.345652169460211,0.273912402270339,0.0152178677574563
2010,0.0052533641767618,0.117337747058659,0.320491410840061,0.183887489490804,0.276707343357448,0.0963226450762668
2011,0.0211085619521922,0.0857517842699373,0.269129713753758,0.26121304920668,0.207124107865031,0.155672782952401
2012,0.0181960432843825,0.298259662217259,0.219936381067123,0.21360754611638,0.144778619336923,0.105221747977932
2013,0.0218729624608095,0.0601504807762535,0.401913942312161,0.290498809512743,0.139439720710229,0.0861240842278033
2014,0.00655944650465802,0.19096247675998,0.201165901183219,0.416909860924849,0.142857245089718,0.0415450695375755
2015,0.000669811998282233,0.0773288425150341,0.227526488353039,0.1576315330487,0.429771604368288,0.107071719716656
2016,0,0.0605091183925046,0.194268345919039,0.216561007551423,0.143310898417394,0.38535062971964
