Year,CatchObs,Sigma
1973,14549,0.0997513451195927
1974,17088,0.0997513451195927
1975,5732,0.0997513451195927
1976,3436,0.0997513451195927
1977,5223,0.0997513451195927
1978,8085,0.0997513451195927
1979,9883,0.0997513451195927
1980,8021,0.0997513451195927
1981,6607,0.0997513451195927
1982,15764,0.0997513451195927
1983,22211,0.0997513451195927
1984,11225,0.0997513451195927
1985,4817,0.0997513451195927
1986,4620,0.0997513451195927
1987,2652,0.0997513451195927
1988,2782,0.0997513451195927
1989,8349,0.0997513451195927
1990,17916,0.0997513451195927
1991,6430,0.0997513451195927
1992,2695,0.0997513451195927
1993,771.0008,0.0997513451195927
1994,735.0004,0.0997513451195927
1995,343.0004,0.0997513451195927
1996,759.0001,0.0997513451195927
1997,1222,0.0997513451195927
1998,1087,0.0997513451195927
1999,1403,0.0997513451195927
2000,1397,0.0997513451195927
2001,1449,0.0997513451195927
2002,945.0005,0.0997513451195927
2003,666.0005,0.0997513451195927
2004,619.0002,0.0997513451195927
2005,346.0002,0.0997513451195927
2006,396,0.0997513451195927
2007,502.0004,0.0997513451195927
2008,583.0006,0.0997513451195927
2009,453.0006,0.0997513451195927
2010,290.9995,0.0997513451195927
2011,390.0002,0.0997513451195927
2012,563.0002,0.0997513451195927
2013,645.9999,0.0997513451195927
2014,625,0.0997513451195927
2015,337.0005,0.0997513451195927
2016,151.9999,0.0997513451195927
