Year,1,2,3,4,5,6+
1973,0.405,0.336,0.296,0.275,0.256,0.231099
1974,0.405,0.336,0.296,0.275,0.256,0.231099
1975,0.405,0.336,0.296,0.275,0.256,0.231099
1976,0.405,0.336,0.296,0.275,0.256,0.231099
1977,0.405,0.336,0.296,0.275,0.256,0.231099
1978,0.405,0.336,0.296,0.275,0.256,0.231099
1979,0.405,0.336,0.296,0.275,0.256,0.231099
1980,0.405,0.336,0.296,0.275,0.256,0.231099
1981,0.405,0.336,0.296,0.275,0.256,0.231099
1982,0.405,0.336,0.296,0.275,0.256,0.231099
1983,0.405,0.336,0.296,0.275,0.256,0.231099
1984,0.405,0.336,0.296,0.275,0.256,0.231099
1985,0.405,0.336,0.296,0.275,0.256,0.231099
1986,0.405,0.336,0.296,0.275,0.256,0.231099
1987,0.405,0.336,0.296,0.275,0.256,0.231099
1988,0.405,0.336,0.296,0.275,0.256,0.231099
1989,0.405,0.336,0.296,0.275,0.256,0.231099
1990,0.405,0.336,0.296,0.275,0.256,0.231099
1991,0.405,0.336,0.296,0.275,0.256,0.231099
1992,0.405,0.336,0.296,0.275,0.256,0.231099
1993,0.405,0.336,0.296,0.275,0.256,0.231099
1994,0.405,0.336,0.296,0.275,0.256,0.231099
1995,0.405,0.336,0.296,0.275,0.256,0.231099
1996,0.405,0.336,0.296,0.275,0.256,0.231099
1997,0.405,0.336,0.296,0.275,0.256,0.231099
1998,0.405,0.336,0.296,0.275,0.256,0.231099
1999,0.405,0.336,0.296,0.275,0.256,0.231099
2000,0.405,0.336,0.296,0.275,0.256,0.231099
2001,0.405,0.336,0.296,0.275,0.256,0.231099
2002,0.405,0.336,0.296,0.275,0.256,0.231099
2003,0.405,0.336,0.296,0.275,0.256,0.231099
2004,0.405,0.336,0.296,0.275,0.256,0.231099
2005,0.405,0.336,0.296,0.275,0.256,0.231099
2006,0.405,0.336,0.296,0.275,0.256,0.231099
2007,0.405,0.336,0.296,0.275,0.256,0.231099
2008,0.405,0.336,0.296,0.275,0.256,0.231099
2009,0.405,0.336,0.296,0.275,0.256,0.231099
2010,0.405,0.336,0.296,0.275,0.256,0.231099
2011,0.405,0.336,0.296,0.275,0.256,0.231099
2012,0.405,0.336,0.296,0.275,0.256,0.231099
2013,0.405,0.336,0.296,0.275,0.256,0.231099
2014,0.405,0.336,0.296,0.275,0.256,0.231099
2015,0.405,0.336,0.296,0.275,0.256,0.231099
2016,0.405,0.336,0.296,0.275,0.256,0.231099
