Year,Index,Sigma
1973,17342.97,0.198042200435365
1974,7069.139,0.198042200435365
1975,3338,0.198042200435365
1976,10016.54,0.198042200435365
1977,5279.03,0.198042200435365
1978,8912.42,0.198042200435365
1979,7917.85,0.198042200435365
1980,6111.821,0.198042200435365
1981,24538.3,0.198042200435365
1982,35005.54,0.198042200435365
1983,27070.59,0.198042200435365
1984,6421.5,0.198042200435365
1985,1397.52,0.198042200435365
1986,3102.43,0.198042200435365
1987,2330.01,0.198042200435365
1988,5754.22,0.198042200435365
1989,11846.93,0.198042200435365
1990,5562.57,0.198042200435365
1991,2649.75,0.198042200435365
1992,629.04,0.198042200435365
1993,579.77,0.198042200435365
1994,1704.84,0.198042200435365
1995,1389.37,0.198042200435365
1996,1066.77,0.198042200435365
1997,3556.07,0.198042200435365
1998,3107.97,0.198042200435365
1999,2256.89,0.198042200435365
2000,2545.21,0.198042200435365
2001,1413.65,0.198042200435365
2002,3443.4,0.198042200435365
2003,1953.92,0.198042200435365
2004,303.12,0.198042200435365
2005,3025.86,0.198042200435365
2006,4060.28,0.198042200435365
2007,1983.45,0.198042200435365
2008,3774.11,0.198042200435365
2009,1949.611,0.198042200435365
2010,14077.94,0.198042200435365
2011,2300.533,0.198042200435365
2012,5822.161,0.198042200435365
2013,1669.979,0.198042200435365
2014,422.761,0.198042200435365
2015,111.667,0.198042200435365
2016,458.272,0.198042200435365
