Year,1,2,3,4,5,6+
1973,0.0198450682994145,0.120089288945542,0.328146591500652,0.184445878001511,0.143075491807816,0.204397681445065
1974,0.0323298350651081,0.13689466649977,0.161350081771708,0.311149551526166,0.189778981382013,0.168496883755235
1975,0.0856282067442106,0.312653815237808,0.0932840986814508,0.120837002857786,0.216883876340298,0.170713000138447
1976,0.00317032415049953,0.723715673752779,0.0976153575617447,0.046864929719433,0.0445141108031656,0.0841196040123784
1977,0.21998824611537,0.235978727490372,0.416120727123605,0.0380109654791008,0.0237893426632801,0.0661119911282718
1978,0.163612384316029,0.6342341525068,0.112641476941623,0.0480981079773442,0.0156262359398627,0.0257876423183417
1979,0.166619116621741,0.492719367325305,0.262449964146577,0.0472566721654859,0.0205788582507983,0.0103760214900927
1980,0.045079390477258,0.441311949558083,0.299063601928717,0.188573746483693,0.0185713389374944,0.00739997261475423
1981,0.0314468726709644,0.676331040215691,0.175683317591371,0.090609946359998,0.0217581513763417,0.00417067178563389
1982,0.00781570906791883,0.688142659958175,0.223391194233568,0.0560099394258767,0.018357739738478,0.00628275757598378
1983,0.00217755016708683,0.355656511828151,0.589322586620811,0.0400614130048268,0.0115651112107068,0.00121682716841837
1984,0.00932379255545652,0.110033902854498,0.218891199216711,0.530740503362927,0.0806514035532366,0.0503591984571716
1985,0.0734473811186594,0.443815648515042,0.111606605683848,0.13217858988987,0.196383771660823,0.0425680031317569
1986,0.00387138126268561,0.688603069472635,0.217932557062992,0.0563059502189937,0.0295353060570452,0.00375173592564897
1987,0,0.0906324122379728,0.734679628154637,0.17468795960739,0,0
1988,0.197464718453098,0.29274311476247,0.102191333690454,0.142558802111408,0.241389500659262,0.0236525303233093
1989,0.0134577403543657,0.932524489428562,0.0446138036507825,0.0094039665662899,0,0
1990,0.00491306030309559,0.0266775305906671,0.843523323438481,0.121401294548836,0.00348479111892008,0
1991,0.0301033883579496,0.0733666377063423,0.309696785403997,0.512925282363162,0.066496090356212,0.0074118158123371
1992,0.00879785798562314,0.022646731401067,0.255113802390954,0.713441608222356,0,0
1993,0.0181994698048499,0.283464509460343,0.12538751713231,0.493836385962946,0.0791121176395515,0
1994,0,0.72107202872783,0.0439935847501589,0,0.183448114879612,0.0514862716423996
1995,0.0110037012749768,0.815832125394437,0.047657640146141,0.0643511823992949,0.0130507113844832,0.0481046394006674
1996,0,0.169949718464177,0.55721434729975,0.242165525099875,0.0306704091361977,0
1997,0.0212567387067712,0.357552736109823,0.462064655655935,0.13201469877952,0.0271111707479518,0
1998,0.0184075158873949,0.817894740651099,0.104595402914382,0.0436837742599222,0.00984633342777787,0.00557223285942472
1999,0.0115811908163215,0.212420213946342,0.630265434622834,0.113955696710934,0.0242937489315944,0.0074837149719737
2000,0.00668352300181615,0.403183681290301,0.516162087408568,0.0684847626505823,0.00548594564873286,0
2001,0,0.0440600918128861,0.736537931591166,0.152540888159242,0.0522797183767866,0.0145813700599192
2002,0.0280158042544669,0.683830969462524,0.13502830765892,0.114726019766619,0.038398898857471,0
2003,0.0688253700339184,0.167472818179639,0.452381941959143,0.239083207705922,0.0722366621213776,0
2004,0.0271103229269195,0.22657770911848,0.486958503235387,0.137057778596022,0.090287948965753,0.0320077371574375
2005,0.21471097893964,0.300086614433385,0.141208446162315,0.0984026414189124,0.222562207015534,0.0230291120302138
2006,0.0251600573432262,0.793738428077819,0.112272705881633,0.0530310497125937,0,0.0157977589847288
2007,0,0.396358203303465,0.543565322258671,0.0600764744378635,0,0
2008,0,0.0393185291323579,0.541914988748278,0.379793512017602,0.0389729701017616,0
2009,0.0394993474928489,0.24103614459334,0.218993735295872,0.33597874870013,0.152723822038775,0.0117682018790341
2010,0.0286060292317501,0.317117356419057,0.357210791370909,0.128131213929489,0.157783818589417,0.0111507904593786
2011,0.0778744697805094,0.22894586677279,0.26103076615043,0.274736011850847,0.0741134818929644,0.0832994035524592
2012,0.012497230377741,0.494904575104107,0.111692199606272,0.153303799314018,0.108417292278138,0.119184903319724
2013,0.103919010616376,0.0865374877251623,0.532515828538987,0.153936097842066,0.0683925262782574,0.0546990489991512
2014,0.00522717159502902,0.241931682968763,0.205971576313928,0.423406054695943,0.0859642618523055,0.037499252574032
2015,0.0190604981638419,0.0256705319505571,0.312777781422223,0.260761835342464,0.381729353120914,0
2016,0.244410547659789,0.0707504959608497,0.139356793147595,0.159876783296094,0.17794828431019,0.207657095625482
