Year,Index,Sigma
1973,45993.28,0.198042200435365
1974,18318.68,0.198042200435365
1975,4839.41,0.198042200435365
1976,5942.61,0.198042200435365
1977,6925.369,0.198042200435365
1978,18730.68,0.198042200435365
1979,5889.55,0.198042200435365
1980,14774.38,0.198042200435365
1981,27000.45,0.198042200435365
1982,43523.88,0.198042200435365
1983,30456.24,0.198042200435365
1984,8397.88,0.198042200435365
1985,6074.29,0.198042200435365
1986,7020.751,0.198042200435365
1987,1593.48,0.198042200435365
1988,2035.3,0.198042200435365
1989,17077.89,0.198042200435365
1990,25849.47,0.198042200435365
1991,11510,0.198042200435365
1992,3741.82,0.198042200435365
1993,1493.45,0.198042200435365
1994,529.85,0.198042200435365
1995,2393.74,0.198042200435365
1996,3908.97,0.198042200435365
1997,4137.04,0.198042200435365
1998,6162.7,0.198042200435365
1999,5117.79,0.198042200435365
2000,4801.36,0.198042200435365
2001,2626.64,0.198042200435365
2002,2910.49,0.198042200435365
2003,750.4399,0.198042200435365
2004,1002.58,0.198042200435365
2005,1143.77,0.198042200435365
2006,3334.65,0.198042200435365
2007,2429.57,0.198042200435365
2008,2112.49,0.198042200435365
2009,3367.55,0.198042200435365
2010,4738.407,0.198042200435365
2011,3828.249,0.198042200435365
2012,4154.041,0.198042200435365
2013,3713.593,0.198042200435365
2014,2678.693,0.198042200435365
2015,739.329,0.198042200435365
2016,545.663,0.198042200435365
