Year,1,2,3,4,5,6+
1973,71242.5906128724,36077.101228692,65474.8047458231,29880.4110076881,20765.8446781697,45928.7983211282
1974,45028.0374050911,26878.8403808224,14053.8285884516,25597.9568013033,12180.4699132163,18370.8755352432
1975,70735.126915797,12460.1185256571,4366.03292131622,3609.71311100183,4903.81047724135,6169.13776385561
1976,18871.8669223369,57045.1297154466,3431.50699983186,944.730717969601,855.356846166939,6306.13298555685
1977,118803.687825119,14948.6036205286,15911.6696411118,1145.85756009643,503.039105154667,3061.51668763185
1978,113069.428369097,86468.2458774595,6427.99543374729,3090.11222801725,398.801872258486,1577.56444892417
1979,84750.9582480159,43445.684497917,18944.4663157992,2553.06306916241,805.484811853114,716.013686604447
1980,74869.9416785279,44233.8324517182,19396.8822434925,7830.59408007347,686.984083506537,674.434135450916
1981,159787.148492669,144325.014933264,23693.6466602846,6863.49905779874,2386.62565023484,1035.60049471469
1982,75419.6265998125,255930.93692934,50505.4761543845,7687.54672018619,2899.49244437788,1714.21829329119
1983,54759.5794163946,124274.639966817,98661.150789578,10994.9154281912,2354.5396438482,819.278950802982
1984,36180.1493493085,22892.2123121163,24096.6975976648,13408.3619913818,2715.74593782899,2972.67014127733
1985,28805.6077831002,14057.4030236213,5468.13010361593,3514.63990322722,2290.82871201163,1091.29834153875
1986,10591.2135791386,31843.5395484719,8249.01111726271,1706.13158173443,459.448702964904,305.578813311565
1987,42534.5920201493,4206.3481772526,6118.2600436975,1655.419520739,411.277143200306,331.600364061564
1988,137623.734549102,9879.91261527235,1633.84021390785,1307.97888752457,436.035963113962,318.022189508048
1989,14801.9319451784,144499.338716879,10182.1753452258,749.336945087365,222.274569382312,45.7365478666656
1990,10329.693229044,15009.3927547709,91925.2232355221,8134.5857828539,341.927050812218,42.3475335877021
1991,14514.7316291051,5355.65252253416,19902.2626025518,11591.8537425046,720.639196719089,231.447026246601
1992,5569.98426734143,1667.47260610273,2822.9395382471,7047.77451619263,623.767383026016,62.6913893082049
1993,6453.49292070582,2162.93684466953,1292.91053082425,1989.67208803376,554.630342702745,54.5398125326468
1994,30219.1822854921,3127.37987403384,671.410701589643,559.759928907968,609.157427562178,375.047771997769
1995,4440.47267987052,12348.7311661622,1472.30352134563,532.674328094872,144.175244939642,869.547854854927
1996,10031.9624938005,4480.01352349686,6764.52052686552,1298.69155086006,244.419246785149,692.313526938864
1997,30011.2585658279,9582.98460719757,7618.92025086281,2600.23760683711,401.704259752915,771.372914565036
1998,17347.1557670723,27206.4290211939,4005.34610988629,1717.52348823164,576.829586018613,447.835571461993
1999,20751.5168187922,9135.23733267725,10538.424011648,1092.68240057341,600.879111173249,369.263846337505
2000,6538.08482031831,16844.8079032519,7083.10592139301,2177.00023370702,143.687322422571,350.084287055432
2001,20967.5598741407,3370.8937032546,5718.53821575977,1554.68522765724,412.146598407368,289.380700151529
2002,10281.2234046154,17960.4523373717,3352.89571298469,1439.81553112559,476.031157967425,48.7527631071543
2003,21071.1818426187,1868.66526294108,2471.68913657364,1086.44901375985,351.304882976357,398.614650781897
2004,4247.72672567195,1772.1368557951,1215.0395810358,693.947645331691,412.360671404788,354.726308620418
2005,61938.8965122869,3216.00754679059,924.008584721463,440.859839371713,478.154459620051,322.380631972474
2006,25347.2691217497,24500.8208948359,1776.91405569669,362.408789106507,183.005595677164,587.551355406433
2007,6246.5409814133,9791.72081337506,5753.91257165687,599.69865462958,254.396105985642,565.874865280191
2008,50919.3351576166,2601.25346859298,5502.74513819468,2573.31250634471,385.978094963742,308.965030985725
2009,23560.6398080677,9390.70443342458,3008.50911088623,3567.64866709796,755.708997529386,334.545699150251
2010,16825.6519114591,37102.0549229023,7319.78287977622,2531.83606873525,2863.00475107837,1042.94219309229
2011,27027.525413472,5900.4783283473,5877.22892332945,3057.08962663001,1511.26253730731,1851.25104427495
2012,8996.25648960405,26154.3275319272,3202.49678083246,2278.46642404216,1315.24127138611,3243.26613449071
2013,13737.7740580393,2641.33605070315,8118.69479534819,1654.11294462063,876.285152996876,1324.05577866434
2014,1410.97493369557,2236.82698807105,1212.27310722329,2583.59364941858,667.069319330381,567.562040766591
2015,770.046342829501,268.146887048635,605.764798342777,473.004961243108,637.358927085652,517.021011515717
2016,10578.6197998913,402.782646265026,231.196711672966,336.517560740542,250.348201097527,861.463755025727
