Year,1,2,3,4,5,6+
1973,0.005,0.145,0.321,0.216,0.142,0.171
1974,0.017,0.556,0.118,0.158,0.079,0.072
1975,0.444,0.22,0.104,0.062,0.088,0.08
1976,0.021,0.669,0.128,0.036,0.049,0.097
1977,0.31,0.296,0.305,0.032,0.017,0.04
1978,0.312,0.526,0.086,0.059,0.01,0.007
1979,0.007,0.632,0.304,0.037,0.015,0.005
1980,0.042,0.446,0.304,0.177,0.024,0.008
1981,0.002,0.36,0.41,0.159,0.06,0.01
1982,0.003,0.669,0.281,0.037,0.008,0.002
1983,0.036,0.278,0.625,0.053,0.006,0.003
1984,0.013,0.166,0.56,0.229,0.025,0.008
1985,0.133,0.508,0.142,0.129,0.072,0.016
1986,0.029,0.663,0.229,0.044,0.025,0.01
1987,0.176,0.394,0.289,0.113,0.02,0.008
1988,0.622,0.237,0.063,0.059,0.016,0.004
1989,0.001,0.834,0.142,0.02,0.002,0
1990,0.004,0.042,0.903,0.048,0.002,0
1991,0.024,0.09,0.298,0.574,0.01,0.003
1992,0.064,0.198,0.295,0.397,0.044,0.003
1993,0.007,0.249,0.254,0.406,0.083,0.002
1994,0.084,0.28,0.254,0.192,0.145,0.045
1995,0.001,0.348,0.281,0.28,0.058,0.032
1996,0.002,0.255,0.588,0.124,0.016,0.016
1997,0.006,0.065,0.542,0.328,0.041,0.017
1998,0.002,0.422,0.399,0.145,0.027,0.005
1999,0.021,0.133,0.656,0.148,0.029,0.013
2000,0.006,0.361,0.441,0.172,0.018,0.003
2001,0,0.156,0.614,0.173,0.044,0.014
2002,0.003,0.188,0.563,0.228,0.017,0
2003,0.002,0.164,0.512,0.289,0.024,0.009
2004,0.205,0.122,0.244,0.214,0.143,0.071
2005,0.043,0.25,0.256,0.227,0.158,0.066
2006,0.051,0.354,0.304,0.159,0.061,0.072
2007,0.007,0.224,0.563,0.141,0.036,0.029
2008,0.023,0.052,0.359,0.518,0.04,0.007
2009,0.015,0.183,0.167,0.346,0.274,0.015
2010,0.005,0.117,0.32,0.184,0.277,0.096
2011,0.021,0.086,0.269,0.261,0.207,0.156
2012,0.018,0.298,0.22,0.214,0.145,0.105
2013,0.022,0.06,0.402,0.29,0.139,0.086
2014,0.007,0.191,0.201,0.417,0.143,0.042
2015,0.001,0.077,0.228,0.158,0.43,0.107
2016,0,0.061,0.194,0.217,0.143,0.385
