Year,1,2,3,4,5,6+
1973,0.005,0.152,0.311,0.422,0.422,0.13
1974,0.014,0.428,0.877,1.189,1.189,0.366
1975,0.016,0.481,0.986,1.338,1.338,0.412
1976,0.006,0.171,0.351,0.476,0.476,0.147
1977,0.013,0.383,0.785,1.064,1.064,0.328
1978,0.01,0.308,0.632,0.858,0.858,0.264
1979,0.016,0.473,0.97,1.316,1.316,0.405
1980,0.01,0.289,0.593,0.805,0.805,0.248
1981,0.004,0.123,0.251,0.341,0.341,0.105
1982,0.006,0.172,0.352,0.478,0.478,0.147
1983,0.009,0.267,0.546,0.741,0.741,0.228
1984,0.017,0.519,1.063,1.442,1.442,0.444
1985,0.02,0.618,1.268,1.72,1.72,0.53
1986,0.013,0.403,0.827,1.122,1.122,0.345
1987,0.018,0.555,1.138,1.544,1.544,0.476
1988,0.018,0.548,1.124,1.524,1.524,0.469
1989,0.01,0.291,0.597,0.81,0.81,0.25
1990,0.015,0.465,0.953,1.292,1.292,0.398
1991,0.015,0.45,0.923,1.252,1.252,0.385
1992,0.013,0.405,0.83,1.125,1.125,0.347
1993,0.007,0.211,0.434,0.588,0.588,0.181
1994,0.013,0.386,0.792,1.074,1.074,0.331
1995,0.003,0.083,0.171,0.232,0.232,0.071
1996,0.004,0.107,0.219,0.297,0.297,0.092
1997,0.004,0.12,0.245,0.333,0.333,0.102
1998,0.003,0.095,0.195,0.265,0.265,0.081
1999,0.004,0.125,0.256,0.348,0.348,0.107
2000,0.004,0.115,0.235,0.319,0.319,0.098
2001,0.007,0.218,0.447,0.606,0.606,0.187
2002,0.003,0.097,0.198,0.268,0.268,0.083
2003,0.005,0.163,0.334,0.453,0.453,0.139
2004,0.009,0.259,0.531,0.72,0.72,0.222
2005,0.004,0.122,0.25,0.339,0.339,0.104
2006,0.002,0.055,0.112,0.152,0.152,0.047
2007,0.002,0.072,0.148,0.201,0.201,0.062
2008,0.003,0.076,0.156,0.211,0.211,0.065
2009,0.002,0.048,0.099,0.134,0.134,0.041
2010,0,0.014,0.028,0.038,0.038,0.012
2011,0.001,0.032,0.066,0.089,0.089,0.028
2012,0.001,0.042,0.086,0.117,0.117,0.036
2013,0.002,0.075,0.153,0.207,0.207,0.064
2014,0.004,0.132,0.271,0.367,0.367,0.113
2015,0.007,0.198,0.405,0.549,0.549,0.169
2016,0.004,0.129,0.264,0.357,0.357,0.11
