Year,1,2,3,4,5,6+
1973,71243,36077,65475,29880,20766,45929
1974,45028,26879,14054,25598,12180,18371
1975,70735,12460,4366,3610,4904,6169
1976,18872,57045,3432,945,855,6306
1977,118804,14949,15912,1146,503,3062
1978,113069,86468,6428,3090,399,1578
1979,84751,43446,18944,2553,805,716
1980,74870,44234,19397,7831,687,674
1981,159787,144325,23694,6863,2387,1036
1982,75420,255931,50505,7688,2899,1714
1983,54760,124275,98661,10995,2355,819
1984,36180,22892,24097,13408,2716,2973
1985,28806,14057,5468,3515,2291,1091
1986,10591,31844,8249,1706,459,306
1987,42535,4206,6118,1655,411,332
1988,137624,9880,1634,1308,436,318
1989,14802,144499,10182,749,222,46
1990,10330,15009,91925,8135,342,42
1991,14515,5356,19902,11592,721,231
1992,5570,1667,2823,7048,624,63
1993,6453,2163,1293,1990,555,55
1994,30219,3127,671,560,609,375
1995,4440,12349,1472,533,144,870
1996,10032,4480,6765,1299,244,692
1997,30011,9583,7619,2600,402,771
1998,17347,27206,4005,1718,577,448
1999,20752,9135,10538,1093,601,369
2000,6538,16845,7083,2177,144,350
2001,20968,3371,5719,1555,412,289
2002,10281,17960,3353,1440,476,49
2003,21071,1869,2472,1086,351,399
2004,4248,1772,1215,694,412,355
2005,61939,3216,924,441,478,322
2006,25347,24501,1777,362,183,588
2007,6247,9792,5754,600,254,566
2008,50919,2601,5503,2573,386,309
2009,23561,9391,3009,3568,756,335
2010,16826,37102,7320,2532,2863,1043
2011,27028,5900,5877,3057,1511,1851
2012,8996,26154,3202,2278,1315,3243
2013,13738,2641,8119,1654,876,1324
2014,1411,2237,1212,2584,667,568
2015,770,268,606,473,637,517
2016,10579,403,231,337,250,861
